 ,ar,pt-br,bg,cs,da,nl,en-gb,en-US,fi,fr,de,el,he,hu,id,it,ja,ko,no,pl,ro,ru,zh-cn,es,sv,th,zh-tw,tr,vi
usdk_need_more_help_label,هل تحتاج إلى مساعدة إضافية؟,Precisa de mais ajuda?,Още помощ?,Potřebujete další pomoc?,Har du brug for mere hjælp?,Meer hulp nodig?,Need more help?,Need more help?,Tarvitsetko lisäapua?,Encore besoin d’aide ?,Brauchen Sie weitere Hilfe?,Χρειάζεστε περισσότερη βοήθεια;,זקוק לעזרה נוספת?,További segítségre van szüksége?,Perlu bantuan lebih jauh?,Hai bisogno di aiuto?,操作がよくわからない場合,도움이 더 필요하세요?,Trenger du mer hjelp?,Potrzebujesz dodatkowej pomocy?,Aveți nevoie de mai multă asistență?,Нужна помощь?,需要更多帮助吗？,¿Necesita más ayuda?,Behöver du mer hjälp?,ต้องการความช่วยเหลือเพิ่มเติมหรือไม่,您是否需要更多幫助？,Daha fazla yardıma mı ihtiyacınız var?,Bạn cần thêm trợ giúp?
usdk_locale_set_default_locale_message,<b>تحذير ZENDESK</b>الجهاز المحدد/الإعدادات المحلية المحددة والإعدادات المحلية لمركز المساعدة غير مدعومة، لذا تم ضبط الإعدادات المحلية على <b>{0}</b> وهي الإعدادات المحلية الافتراضية,"<b>[AVISO DO ZENDESK]</b> Não há suporte para o dispositivo/localidade selecionada, nem para a localidade da Central de Ajuda, portanto, a localidade foi definida como <b>{0}</b>, que é padrão","<b>[ПРЕДУПРЕЖДЕНИЕ ОТ ZENDESK]</b>Езикът на устройството или избраният език, както и езикът на Помощния център, не се поддържат. Зададена е стандартната настройка за език (<b>{0}</b>)","<b>[UPOZORNĚNÍ ZENDESKU]</b>Národní prostředí vybrané v zařízení a národní prostředí Centra nápovědy nejsou podporovaná, takže bylo národní prostředí nastaveno na <b>{0}</b>, což je výchozí národní prostředí","<b>[ZENDESK ADVARSEL]</b>Enhedens landestandard eller den valgte landestandard og landestandarden for Help Center understøttes ikke, og derfor er landestandarden angivet som <b>{0}</b>, hvilket er standardlandestandard","<b>[ZENDESK WARNING]</b>Het apparaat/de geselecteerde landinstellingen en de landinstellingen van het Helpcenter worden niet ondersteund en de landinstellingen zijn ingesteld op <b>{0}</b>, de standaardlandinstellingen","<b>[ZENDESK WARNING]</b>The device/selected locale and the Help Centre locale are not supported, so the locale is set to <b>{0}</b> which is the default locale","<b>[ZENDESK WARNING]</b>The device/selected locale and the Help Center locale are not supported, so the locale is set to <b>{0}</b> which is the default locale","<b>[ZENDESK-VAROITUS]</b>Laitteeseen valittua kielialuetta ja tukiportaalin kielialuetta ei tueta, joten kielialueeksi on asetettu <b>{0}</b>, mikä on oletuskielialue","<b>[AVERTISSEMENT ZENDESK]</b>La langue de l’appareil/sélectionnée et la langue du Centre d’aide ne sont pas prises en charge, la langue est donc configurée sur <b>{0}</b>, qui est la langue par défaut",<b>[ZENDESK-WARNUNG]</b>Das Gerät/ausgewählte Gebietsschema und das Help-Center-Gebietsschema werden nicht unterstützt; das Gebietsschema wird auf den Standardwert <b>{0}</b> gesetzt,"<b>[ΠΡΟΕΙΔΟΠΟΙΗΣΗ ZENDESK]</b>Οι τοπικές ρυθμίσεις της συσκευής/οι επιλεγμένες τοπικές ρυθμίσεις και οι τοπικές ρυθμίσεις του Κέντρου βοήθειας δεν υποστηρίζονται, οπότε οι τοπικές ρυθμίσεις ορίστηκαν σε <b>{0}</b>, οι οποίες είναι οι προεπιλεγμένες τοπικές ρυθμίσεις","<b>[אזהרת ZENDESK]</b>האזור של המכשיר/האזור שנבחר ואזור מרכז התמיכה לא נתמכים, ולכן האזור נקבע להיות <b>{0}</b> שהוא אזור ברירת המחדל","<b>[ZENDESK-FIGYELMEZTETÉS]</b>Az eszköz nyelvi beállítása vagy a kiválasztott nyelvi beállítás, illetve a Súgóközpont nyelvi beállítása nem támogatott, ezért a rendszer azt a(z) <b>{0}</b> alapértelmezett nyelvi beállításra konfigurálta","<b>[PERINGATAN ZENDESK]</b>Bahasa setempat perangkat/pilihan dan bahasa setempat Pusat Bantuan tidak didukung, sehingga bahasa setempat ditetapkan menjadi <b>{0}</b> yang merupakan bahasa setempat default","<b>[AVVERTENZA ZENDESK]</b>Le impostazioni locali selezionate o del dispositivo e quelle del Centro assistenza non sono supportate; vengono così impostate su <b>{0}</b>, che è il valore predefinito",<b>[ZENDESK WARNING]</b>デバイスまたは選択したロケールとヘルプセンターのロケールはサポートされていないため、ロケールはデフォルトのロケールである<b>{0}</b>に設定されています,<b>[ZENDESK 경고]</b>기기/선택한 로캘 및 헬프 센터 로캘이 지원되지 않으므로 기본 로캘인 <b>{0}</b>(으)로 설정됩니다.,"<b>[ZENDESK-ADVARSEL]</b>Enheten/valgt språk og Kundesenter-språket støttes ikke, så språket er stilt på <b>{0}</b>, som er standardspråk","<b>[OSTRZEŻENIE ZENDESK]</b>Ustawienia regionalne urządzenia / wybrane ustawienia regionalne oraz ustawienia regionalne Centrum pomocy nie są obsługiwane, więc skonfigurowano domyślne ustawienia regionalne: <b>{0}</b>","<b>[AVERTISMENT ZENDESK]</b>Setarea regională a dispozitivului/selectată și setarea regională a Centrului de asistență nu sunt acceptate, deci setarea regională este configurată la <b>{0}</b>, adică setarea regională implicită",<b>[ПРЕДУПРЕЖДЕНИЕ ZENDESK]</b>Язык устройства/выбранный язык и язык Справочного центра не поддерживаются; выбран язык по умолчанию: <b>{0}</b>,<b>[ZENDESK 警告]</b>设备/选定的区域设置和帮助中心区域设置不受支持，因此区域设置已设置为 <b>{0}</b>，即默认的区域设置,"<b>[ADVERTENCIA DE ZENDESK]</b>No se admite la configuración regional seleccionada ni la del dispositivo ni la del Centro de ayuda, por lo tanto la configuración regional se estableció en <b>{0}</b> que es el valor predeterminado","<b>[ZENDESK-VARNING]</b> Enhetens språkregion/den valda språkregionen och Helpcenter-språkregionen stöds inte, så språkregionen anges som <b>{0}</b> som är den förvalda språkregionen",<b>[คำเตือน ZENDESK]</b>ระบบภาษาของอุปกรณ์/ระบบภาษาที่เลือก และระบบภาษาของศูนย์ความช่วยเหลือไม่ได้รับการรองรับ ดังนั้นระบบภาษาถูกตั้งค่าเป็น <b>{0}</b> ซึ่งเป็นระบบภาษาแบบดีฟอลต์,<b>[ZENDESK 警告]</b>不支援裝置/已選取的地區設定與客服中心地區設定，因此地區設定已設定為預設地區設定 <b>{0}</b>,<b>[ZENDESK UYARISI]</b>Cihaz/seçilen yerel ayar ve Yardım Merkezi yerel ayarı desteklenmediği için yerel ayar <b>{0}</b> yapıldı (varsayılan ayar),"<b>[CẢNH BÁO CỦA ZENDESK]</b>Ngôn ngữ của thiết bị/ngôn ngữ đã chọn và ngôn ngữ của Trung tâm trợ giúp không được hỗ trợ, do đó ngôn ngữ được đặt là ngôn ngữ mặc định <b>{0}</b>"
usdk_generic_error_button,إعادة تحميل,Recarregar,Презареждане,Načíst znovu,Indlæs igen,Opnieuw laden,Reload,Reload,Lataa uudelleen,Recharger,Neu laden,Επαναφόρτωση,טען מחדש,Újratöltés,Muat ulang,Ricarica,再読み込み,다시 로드,Last på nytt,Odśwież,Reîncărcare,Перезагрузить,重新加载,Volver a cargar,Läs in igen,โหลดใหม่,重新載入,Yeniden yükle,Tải lại
usdk_request_created_title,تم إرسال الرسالة,Mensagem enviada,Съобщението е изпратено,Zpráva byla odeslána,Meddelelse er sendt,Bericht verzonden,Message sent,Message sent,Viesti lähetetty,Message envoyé,Nachricht gesendet,Το μήνυμα εστάλη,ההודעה נשלחה,Üzenet elküldve,Pesan terkirim,Messaggio inviato,メッセージが送信されました,메시지를 전송했습니다.,Melding sendt,Wysłano wiadomość,Mesaj trimis,Сообщение отправлено,消息已发送,Mensaje enviado,Meddelande skickat,ส่งข้อความแล้ว,已傳送訊息,Mesaj gönderildi,Đã gửi tin nhắn
usdk_sections_list_fragment_error_message,فشل في الحصول على الأقسام,Falha ao obter as seções,Неуспешно извличане на раздели,Nepovedlo se načíst oddíly,Sektionerne blev ikke hentet,Kan secties niet opvragen,Failed to get sections,Failed to get sections,Osioiden hakeminen epäonnistui,Échec de la récupération des sections,Fehler beim Abrufen der Abschnitte,Η λήψη ενοτήτων απέτυχε,אחזור קטגוריות המשנה נכשל,Nem sikerült lekérni a szakaszokat,Gagal mendapatkan bagian,Impossibile reperire le sezioni.,セクションを取得できませんでした,섹션을 가져오지 못했습니다.,Får ikke tak i seksjoner,Nie udało się uzyskać sekcji,Obținerea secțiunilor a eșuat,Не удалось получить разделы,获取组别失败,Error al intentar obtener secciones,Det gick inte att hämta avsnitt,ไม่สามารถเรียกส่วนต่างๆ ได้,取得段落失敗,Bölümler alınamadı,Không tải được mục
usdk_sending_label,جارٍ الإرسال...,Enviando...,Изпраща се...,Odesílání...,Sender ...,Verzenden...,Sending...,Sending...,Lähetetään...,Envoi en cours…,Wird gesendet...,Αποστολή...,שולח...,Küldés...,Mengirim...,Invio...,送信中...,보내는 중...,Sender...,Wysyłanie...,Se trimite…,Отправка...,正在发送……,Enviando...,Skickar...,กำลังส่ง...,正在傳送……,Gönderiliyor...,Đang gửi...
usdk_file_exceeds_max_resolution,يتجاوز الحد الأقصى للدقة (4096 بكسل),Excede a resolução máxima (4096 pixels),Надвишава максималната резолюция (4096 пиксела),Překračuje maximální rozlišení (4096 obr. bodů),Overskrider den maksimale opløsning (4096px),Overschrijdt maximumresolutie (4096px),Exceeds max resolution (4096px),Exceeds max resolution (4096px),Ylittää maksimiresoluution (4 096 pikseliä),Résolution max. dépassée (4096 px),Überschreitet maximale Auflösung (4096 Pixel),Υπερβαίνει τη μέγιστη ανάλυση (4096 px),חורג מהרזולוציה המקסימלית (4096px),Meghaladja a maximális felbontást (4096 képpont),Melampaui resolusi maksimum (4096px),Supera la risoluzione massima (4096 px),画像の最大解像度 (4096px) を超えています,최대 해상도 초과(4096픽셀),Overskrider maksimal oppløsning (4096 piksler),Przekracza rozdzielczość maksymalną (4096 px),Depășește rezoluția maximă (4096px),Превышает максимальное разрешение (4096 пикселов),超出最大分辨率（4096px）,Excede la resolución máxima (4096 px),Överskrider den maximala upplösningen (4 096 bildpunkter),เกินความละเอียดสูงสุด (4096px),超出最大解析度（4096px）,Maksimum çözünürlüğü (4096 px) aşıyor,Vượt quá độ phân giải tối đa (4096px)
usdk_custom_field_conf_ui_component_fail,<b>[تحذير ZENDESK]</b> تكوين الحقل المخصص غير صالح (مكون واجهة المستخدم غير موجود),<b>[AVISO DO ZENDESK]</b> Campo personalizado configurado incorretamente (componente da interface ausente),<b>[ZENDESK – ПРЕДУПРЕЖДЕНИЕ]</b> Специалното поле не е конфигурирано правилно (липсва UI компонентът),<b>[UPOZORNĚNÍ ZENDESKU]</b> Vlastní pole není správně konfigurované (chybí komponenta uživatelského rozhraní),<b>[ZENDESK ADVARSEL]</b> Brugerdefineret felt er ikke konfigureret korrekt (brugergrænsefladekomponent mangler),<b>[ZENDESK WARNING]</b> Aangepast veld is niet juist geconfigureerd (onderdeel van gebruikersinterface ontbreekt),<b>[ZENDESK WARNING]</b> Custom field not configured correctly (UI component is missing),<b>[ZENDESK WARNING]</b> Custom field not configured correctly (UI component is missing),<b>[ZENDESK-VAROITUS]</b> Mukautettua kenttää ei ole määritetty oikein (käyttöliittymäkomponentti puuttuu),<b>[AVERTISSEMENT ZENDESK]</b> Le champ personnalisé n’est pas configuré correctement (composant d’interface manquant),<b>[ZENDESK-WARNUNG]</b> Angepasstes Feld nicht richtig konfiguriert (UI-Komponente fehlt),<b>[ΠΡΟΕΙΔΟΠΟΙΗΣΗ ZENDESK]</b> Το εξατομικευμένο πεδίο δεν είναι σωστά διαμορφωμένο (λείπει το στοιχείο UI),<b>[אזהרת ZENDESK]</b> השדה המותאם לא מוגדר כמו שצריך (חסר רכיב ממשק),<b>[ZENDESK-FIGYELMEZTETÉS]</b> Az egyéni mező nincs megfelelően beállítva (hiányzik a felhasználói felületi összetevő),<b>[PERINGATAN ZENDESK]</b> Petak kustom tidak dikonfigurasi dengan benar (Komponen UI hilang),<b>[AVVERTENZA ZENDESK]</b> Campo personalizzato non configurato correttamente (componente di interfaccia mancante),<b>[ZENDESK WARNING]</b> カスタムフィールドが正しく設定されていません (UIコンポーネントが不足しています),<b>[ZENDESK 경고]</b> 사용자 지정 필드가 올바르게 구성되어 있지 않습니다(UI 구성 요소 누락).,<b>[ZENDESK-ADVARSEL]</b> Egendefinert felt er ikke riktig konfigurert (grensesnittkomponent mangler),<b>[OSTRZEŻENIE ZENDESK]</b> Nieprawidłowo skonfigurowano dostosowane pole (brak komponentu UI),<b>[AVERTISMENT ZENDESK]</b> Câmpul personalizat nu este corect configurat (lipsește componenta IU),<b>[ПРЕДУПРЕЖДЕНИЕ ZENDESK]</b> Неправильно настроено специальное поле (компонент интерфейса отсутствует),<b>[ZENDESK 警告]</b> 自定义字段未正确配置（UI 组件缺失）,<b>[ADVERTENCIA DE ZENDESK]</b> El campo personalizado no está configurado correctamente (falta el componente de IU),<b>[ZENDESK-VARNING]</b> Eget fält inte konfigurerat korrekt (UI-komponent saknas),<b>[คำเตือน ZENDESK]</b> ไม่ได้กำหนดค่าฟิลด์ที่กำหนดเองอย่างถูกต้อง (องค์ประกอบ UI หายไป),<b>[ZENDESK 警告]</b> 自訂欄位未正確設定（缺少 UI 元件）,<b>[ZENDESK UYARISI]</b> Özel alan doğru yapılandırılmamış (Kullanıcı arabirimi bileşeni eksik),<b>[CẢNH BÁO CỦA ZENDESK]</b>Chưa định cấu hình đúng trường tùy chỉnh (thiếu thành phần UI)
usdk_success_connection_information,<b>نجاح ZENDESK</b>تم الاتصال <b>بنجاح</b>(معرّف التطبيق ومعرّف العميل وعنوان URL),"<b>[SUCESSO DO ZENDESK]</b> Conexão realizada <b>com êxito</b>(ID do aplicativo, ID do cliente e URL)","<b>[ZENDESK – УСПЕШНО ДЕЙСТВИЕ]</b>Връзката е <b>успешна</b> (идентификатор на приложението, идентификатор на клиента и URL)","<b>[ÚSPĚCH ZENDESKU]</b>Připojení je <b>úspěšné</b> (ID aplikace, ID klienta a URL)","<b>[ZENDESK SUCCES]</b>Forbindelsen <b>lykkedes</b>(Applikations-id, Klient-id og URL-adresse)","<b>[ZENDESK SUCCESS]</b>Verbinden is <b>voltooid</b>(toepassings-id, klant-id en webadres)","<b>[ZENDESK SUCCESS]</b>Connection is <b>successful</b>(Application ID, Client ID and URL)","<b>[ZENDESK SUCCESS]</b>Connection is <b>successful</b>(Application ID, Client ID and URL)","<b>[ZENDESK – ONNISTUI]</b>Yhteys <b>onnistui</b>(sovelluksen tunnus, asiakkaan tunnus ja URL-osoite)","<b>[RÉUSSITE ZENDESK]</b>La connexion a <b>réussi</b>(ID de l’application, ID client et URL)","<b>[ZENDESK-ERFOLGSMELDUNG]</b>Verbindung <b>erfolgreich</b>(Anwendungs-ID, Client-ID und URL)","<b>[ΕΠΙΤΥΧΙΑ ZENDESK]</b>Η σύνδεση είναι <b>επιτυχής</b>(αναγνωριστικό εφαρμογής, αναγνωριστικό πελάτη και URL)","<b>[הצלחת ZENDESK]</b>החיבור <b> הצליח</b>(מזהה אפליקציה, מזהה לקוח וכתובת URL)","<b>[ZENDESK-SIKER]</b>A csatlakozás <b>sikerült</b>(alkalmazásazonosító, kliensazonosító és URL-cím)","<b>[ZENDESK BERHASIL]</b>Koneksi <b>berhasil</b>(ID Aplikasi, ID Klien, dan URL)","<b>[OPERAZIONE ZENDESK RIUSCITA]</b>Connessione <b>riuscita</b>(ID applicazione, ID client e URL)",<b>[ZENDESK SUCCESS]</b>接続が<b>完了しました</b>(アプリケーションID、クライアントID、URL),"<b>[ZENDESK 성공]</b>연결에 <b>성공</b>했습니다(애플리케이션 ID, 클라이언트 ID 및 URL).","<b>[ZENDESK-SUKSESS]</b>Tilkoblingen <b>lyktes</b>(Applikasjons-ID, klient-ID og URL-adresse)","<b>[POMYŚLNA OPERACJA ZENDESK]</b><b>Udało się</b> nawiązać połączenie (ID aplikacji, ID klienta i adres URL)","<b>[SUCCES ZENDESK]</b>Conexiunea a <b>reușit</b>(Identificator aplicație, Identificator client și URL)","<b>[ВЫПОЛНЕНО - ZENDESK]</b>Подключение <b>установлено</b> (ID приложения, ID клиента и URL-адрес)",<b>[ZENDESK 成功]</b>连接<b>成功</b>（应用程序 ID、客户端 ID 和 URL）,"<b>[ÉXITO DE ZENDESK]</b>La conexión fue <b>exitosa</b>(ID de la aplicación, ID del cliente y URL)","<b>[ZENDESK – LYCKAT RESULTAT]</b> Anslutningen har <b>lyckats</b> (app-ID, klient-ID och webbadress)","<b>[ความสำเร็จ ZENDESK]</b>การเชื่อมต่อ<b>สำเร็จ</b> (ID แอปพลิเคชัน, ID ไคลเอ็นต์ และ URL)",<b>[ZENDESK 成功]</b>連線<b>成功</b>（應用程式 ID、用戶端 ID 與 URL）,"<b>[ZENDESK İŞLEMİ BAŞARILI]</b>Bağlantı <b>kuruldu</b>(Uygulama No, İstemci No ve URL)","<b>[THÔNG BÁO THÀNH CÔNG CỦA ZENDESK]</b>Kết nối <b>thành công</b> (ID ứng dụng, ID ứng dụng khách và URL)"
usdk_articles_list_fragment_error_message,فشل في الحصول على المقالات,Falha ao obter os artigos,Неуспешно извличане на статии,Nepovedlo se načíst články,Artiklerne blev ikke hentet,Kan artikelen niet opvragen,Failed to get articles,Failed to get articles,Artikkelien hakeminen epäonnistui,Échec de la récupération des articles,Fehler beim Abrufen der Beiträge,Η λήψη άρθρων απέτυχε,אחזור המאמרים נכשל,Nem sikerült lekérni a cikkeket,Gagal mendapatkan artikel,Impossibile reperire gli articoli.,記事を取得できませんでした,문서를 가져오지 못했습니다.,Får ikke tak i artikler,Nie udało się uzyskać artykułów,Obținerea articolelor a eșuat,Не удалось получить статьи,获取文章失败,Error al intentar obtener artículos,Det gick inte att hämta artiklar,ไม่สามารถรับบทความได้,取得文章失敗,Makaleler alınamadı,Không tải được bài viết
usdk_label_name,الاسم,Nome,Име,Jméno,Navn,Naam,Name,Name,Nimi,Nom,Name,Όνομα,שם,Név,Nama,Nome,名前,이름,Navn,Nazwa,Nume,Имя,姓名,Nombre,Namn,ชื่อ,姓名,Ad,Tên
